TERM;POSITION;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION
cosa;63976;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Dios;63995;PN;FT;;;;;;;;FOUND
Alfonso;64346;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Yolant;64388;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Ferrando;64435;PN;FT; ; ;not; ; ; ; ;FOUND
Sancho;64608;PN;FT;;;yes;APLN;;;;FOUND
Toledo;64626;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Phelip;64665;PN;FT;;;yes;APLN;;;;FOUND
Seuilla;64683;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Aboabdille;64706;PPN;PPT;;;yes;APLN;;;;VALIDATE
Nazar;64723;PLN;FT;http://sws.geonames.org/6359730; ;not; ; ;null;Geonames;FOUND
Granada;64736;PLN;FT;http://sws.geonames.org/6357709;Gorad Granada,Grana,Granaada,Granada,Granado,Granata,Graná,Grenada,Grenade,Lungsod ng Granada,Qranada,garanada,ge la na da,ge lan na da,geulanada,ghrnatt,granada,grndh,guranada,jranada,kiranata,kran a da,Γρανάδα,Горад Гранада,Гранаада,Гранада,Ґранада,Գրանադա,גרנדה,جرانادا,غرناطة,غرناطہ,گرانادا,ग्रानाडा,ग्रानादा,গ্রানাডা,ਗਰਾਨਾਦਾ,கிரனாதா,กรานาดา,გრანადა,ግራናዳ,グラナダ,格拉纳达,格蘭納達,그라나다;not;;;null;Geonames;FOUND
Apparicio;64776;PPN;PPT;;;yes;APLN;;;;VALIDATE
Burgos;64797;PLN;FT;http://sws.geonames.org/6356377;Burgi,Burgos,Burgosas,Burgoso,Burgus,brghsh,brgws,bu er ge si,buleugoseu,bur kos,burugosu,bwrgws,Бургос,Бурґос,برغش,برگوس,بورگوس,บูร์โกส,ブルゴス,布尔戈斯,부르고스;not;;;null;Geonames;FOUND
Ferrando;64816;PN;FT;;;yes;APLN;;;;FOUND
Palencia;64836;PLN;FT;http://sws.geonames.org/6360072; ;not;;;null;Geonames;FOUND
Remondo;64857;PPN;PPT;;;yes;APLN;;;;VALIDATE
Segouia;64876;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
Pero;64896;PPN;PPT;;;yes;APLN;;;;VALIDATE
Siguença;64912;PPLN;PPT;;;not;;;;;VALIDATE
Gil;64933;PPN;PPT;;;yes;APLN;;;;VALIDATE
Osma;64948;PLN;FT;http://sws.geonames.org/3114836;Osma;not;;;null;Geonames;FOUND
Mathe;64965;PPN;PPT;;;yes;APLN;;;;VALIDATE
Cuenca;64982;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Benito;65001;PPN;PPT;;;yes;APLN;;;;VALIDATE
Auila;65019;PLN;FT;http://pleiades.stoa.org/places/236361;Ávila;not;;; ;Medieval;FOUND
Aznar;65037;PPN;PPT;;;yes;APLN;;;;VALIDATE
Calahorra;65054;PLN;FT;http://sws.geonames.org/6359026; ;not;;;null;Geonames;FOUND
Lop;65076;PPN;PPT;;;yes;APLN;;;;VALIDATE
Cordoua;65091;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Adam;65111;PN;FT;;;yes;APLN;;;;FOUND
Plazencia;65127;PPLN;PPT;;;not;;;;;VALIDATE
Pasqual;65149;PPN;PPT;;;yes;APLN;;;;VALIDATE
Jahen;65168;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Carthagena;65206;PLN;FT;http://sws.geonames.org/6359521; ;not;;;null;Medieval;FOUND
Pedriuannes;65229;PPN;PPT;;;yes;APLN;;;;VALIDATE
Calatraua;65265;PN;FT;;;;;;;;FOUND
Alfonsso;65287;PN;FT;;;yes;APLN;;;;FOUND
Molina;65299;PN;FT;;;yes;APLN;;;;FOUND
Fredric;65318;PN;FT;;;yes;APLN;;;;FOUND
Nunno;65338;PPN;PPT;;;yes;APLN;;;;VALIDATE
Alfonsso;65366;PN;FT;;;yes;APLN;;;;FOUND
Symon;65393;PN;FT;;;yes;APLN;;;;FOUND
Royz;65399;PN;FT;;;;;;;;FOUND
Alfonsso;65416;PN;FT;;;yes;APLN;;;;FOUND
Royz;65453;PN;FT;;;yes;APLN;;;;FOUND
Castro;65461;PLN;FT;http://pleiades.stoa.org/places/413072; ;yes;PN; ;An ancient place, cited: BAtlas 42 B3 Castro;Medieval;FOUND
Pero;65480;PPN;PPT;;;yes;APLN;;;;VALIDATE
Nunnez;65485;PN;FT;;;;;;;;FOUND
Nunno;65504;PPN;PPT;;;yes;APLN;;;;VALIDATE
Guillem;65510;PN;FT;;;;;;;;FOUND
Pero;65530;PPN;PPT;;;yes;APLN;;;;VALIDATE
Guzman;65535;PN;FT;;;;;;;;FOUND
Rodrigo;65554;PPN;PPT;;;yes;APLN;;;;VALIDATE
Rodrigo;65593;PPN;PPT;;;yes;APLN;;;;VALIDATE
Aluarez;65601;PN;FT;;;;;;;;FOUND
Ferrant;65621;PPN;PPT;;;yes;APLN;;;;VALIDATE
Garcia;65629;PN;FT;;;;;;;;FOUND
Alfonsso;65648;PN;FT;;;yes;APLN;;;;FOUND
Garcia;65657;PN;FT;;;;;;;;FOUND
Diago;65676;PPN;PPT;;;yes;APLN;;;;VALIDATE
Gomez;65682;PN;FT;;;;;;;;FOUND
Gomez;65700;PN;FT;;;yes;APLN;;;;FOUND
Royz;65706;PN;FT;;;;;;;;FOUND
Gutier;65723;PPN;PPT;;;yes;APLN;;;;VALIDATE
Suer;65749;PPN;PPT;;;yes;APLN;;;;VALIDATE
Alfonsso;65774;PN;FT;;;yes;APLN;;;;FOUND
Constantinopla;65816;PPLN;GENT;;;not;;;;;VALIDATE
Berenguella;65857;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Loys;65906;PN;FT;;;yes;APLN;;;;FOUND
Belmont;65971;PPLN;PPT;;;not;;;;;VALIDATE
Iohan;66008;PN;FT;;;yes;APLN;;;;FOUND
Montfort;66074;PPLN;PPT;;;not;;;;;VALIDATE
Mahomat;66112;PN;FT;;;yes;APLN;;;;FOUND
Mahomat;66126;PN;FT; ; ;not; ; ; ; ;FOUND
Murcia;66150;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Gaston;66186;PPN;PPT;;;yes;APLN;;;;VALIDATE
Beart;66206;PPLN;PPT;;;not;;;;;VALIDATE
Gui;66241;PPN;PPT;;;yes;APLN;;;;VALIDATE
Limoges;66258;PPLN;PPT;;;not;;;;;VALIDATE
Iuan;66323;PPN;PPT;;;yes;APLN;;;;VALIDATE
Garcia;66328;PN;FT;;;;;;;;FOUND
Iohan;66384;PN;FT;;;yes;APLN;;;;FOUND
Sanctiago;66404;PPLN;PPT;;;not;;;;;VALIDATE
Aben;66446;PPN;PPT;;;yes;APLN;;;;VALIDATE
Niebla;66466;PLN;FT;http://sws.geonames.org/6358229; ;not;;;null;Geonames;FOUND
Martin;66502;PN;FT;;;yes;APLN;;;;FOUND
Leon;66520;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Pero;66537;PPN;PPT;;;yes;APLN;;;;VALIDATE
Ouiedo;66553;PPLN;PPT;;;not;;;;;VALIDATE
Suero;66572;PPN;PPT;;;yes;APLN;;;;VALIDATE
C'amora;66589;PPLN;PPT;;;not;;;;;VALIDATE
Pero;66609;PPN;PPT;;;yes;APLN;;;;VALIDATE
Salamanca;66625;PLN;FT;http://pleiades.stoa.org/places/236642;Salamanca;not;;; ;Medieval;FOUND
Pero;66647;PPN;PPT;;;yes;APLN;;;;VALIDATE
Astorga;66663;PLN;FT;http://sws.geonames.org/6358559;Astorga,Astorgo,Asturica Augusta,Estorga,a si tuo er jia,aseutoleuga,astrqt,astwrkha,asutoruga,Асторга,Աստորգա,آستورخا,أسترقة,アストルガ,阿斯托尔加,아스토르가;not;;;null;Geonames;FOUND
Leonart;66683;PPN;PPT;;;yes;APLN;;;;VALIDATE
Cipdat;66702;PPLN;PPT;;;not;;;;;VALIDATE
Migael;66721;PPN;PPT;;;yes;APLN;;;;VALIDATE
Lugo;66739;PLN;FT;http://sws.geonames.org/6359189;Gorad Luga,Lougo,Lucus Augusti,Lugas,Lugo,Lugu,lu gao,lu ge,lu ko,lugo,luko,lwghw,lwgw,rugo,Λούγο,Горад Луга,Луго,Լուգո,לוגו,لوغو,لوگو,लूगो,லுகோ,ลูโก,ლუგო,ሉጎ,ルーゴ,卢戈,盧高,루고;not;;;null;Geonames;FOUND
Iohan;66756;PN;FT;;;yes;APLN;;;;FOUND
Orens;66773;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/992080;null;not;;;An ancient place, cited: BAtlas 101 M6 Oriens;Medieval;FOUND
Gil;66791;PPN;PPT;;;yes;APLN;;;;VALIDATE
Tuy;66806;PLN;FT;http://sws.geonames.org/6360252;Tuj,Tuy,to~ui,tu yi,twy,Туй,توي,توی,トゥイ,图伊;not;;;null;Medieval;FOUND
Iohan;66822;PN;FT;;;yes;APLN;;;;FOUND
Mendonedo;66839;PPLN;PPT;;;not;;;;;VALIDATE
Pero;66861;PPN;PPT;;;yes;APLN;;;;VALIDATE
Coria;66877;PLN;FT;http://sws.geonames.org/6356764;Coria,Còria,Cória,Koria,Korija,ke li ya,qwryt,Кория,Корія,Կորիա,قورية,科里亚;not;;;null;Geonames;FOUND
Silue;66917;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/688028;null;not;;;An ancient place, cited: BAtlas 70 G1 Silo;Medieval;FOUND
Pelay;66935;PPN;PPT;;;yes;APLN;;;;VALIDATE
Perez;66941;PN;FT;;;;;;;;FOUND
Sanctiago;66971;PPLN;PPT;;;not;;;;;VALIDATE
Garci;66993;PN;FT;;;yes;APLN;;;;FOUND
Ferrandez;66999;PN;FT;;;;;;;;FOUND
Orden;67024;UN;UNI;;;not;;;;;UNIDENTIFIED
Alcantara;67033;PLN;FT;http://sws.geonames.org/10241080; ;not;;;null;Geonames;FOUND
Martin;67055;PN;FT;;;yes;APLN;;;;FOUND
Nunnez;67062;PN;FT;;;;;;;;FOUND
Temple;67094;PLN;FT;http://sws.geonames.org/3108180; ;not;;;null;Geonames;FOUND
Manuel;67113;PN;FT;;;yes;APLN;;;;FOUND
Ferrando;67132;PN;FT;;;yes;APLN;;;;FOUND
Loys;67153;PN;FT;;;yes;APLN;;;;FOUND
Alfonsso;67170;PN;FT;;;yes;APLN;;;;FOUND
Rodrigo;67204;PPN;PPT;;;yes;APLN;;;;VALIDATE
Alfonsso;67212;PN;FT;;;;;;;;FOUND
Martin;67233;PN;FT;;;yes;APLN;;;;FOUND
Alfonsso;67240;PN;FT;;;;;;;;FOUND
Rodrigo;67261;PPN;PPT;;;yes;APLN;;;;VALIDATE
Gomez;67269;PN;FT;;;;;;;;FOUND
Rodrigo;67287;PPN;PPT;;;yes;APLN;;;;VALIDATE
Iohan;67314;PN;FT;;;yes;APLN;;;;FOUND
Perez;67320;PN;FT;;;;;;;;FOUND
Ferrant;67338;PPN;PPT;;;yes;APLN;;;;VALIDATE
Martin;67366;PN;FT;;;yes;APLN;;;;FOUND
Gil;67373;PLN;FT;http://sws.geonames.org/10055472; ;not;;;null;Geonames;FOUND
Gonçaluo;67389;PN;FT;;;yes;APLN;;;;FOUND
Rodrigo;67418;PPN;PPT;;;yes;APLN;;;;VALIDATE
Rodriguez;67426;PN;FT;;;;;;;;FOUND
Aluar;67448;PN;FT;;;yes;APLN;;;;FOUND
Diaz;67454;PN;FT;;;;;;;;FOUND
Pelay;67471;PPN;PPT;;;yes;APLN;;;;VALIDATE
Perez;67477;PN;FT;;;;;;;;FOUND
Garci;67491;PN;FT;;;;;;;;FOUND
Suarez;67497;UN;UNI;;;not;;;;;UNIDENTIFIED
Murcia;67531;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Ferrando;67550;PN;FT;;;yes;APLN;;;;FOUND
Palencia;67570;PLN;FT;http://sws.geonames.org/6360072; ;not;;;null;Geonames;FOUND
Sancho;67666;PN;FT;;;yes;APLN;;;;FOUND
Martinez;67673;PN;FT;;;yes;APLN;;;;FOUND
Xodar;67685;PPLN;PPT;;;not;;;;;VALIDATE
Garci;67725;PN;FT;;;;;;;;FOUND
Perez;67731;PN;FT;;;;;;;;FOUND
Toledo;67740;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Andaluzia;67770;PLN;FT;http://sws.geonames.org/2593109/;Andalucía;not; ; ; ;Medieval;FOUND
Gonçaluo;67787;PN;FT;;;;;;;;FOUND
Morant;67796;UN;UNI;;;not;;;;;UNIDENTIFIED
Leon;67820;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;67861;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Suero;67882;PPN;PPT;;;yes;APLN;;;;VALIDATE
C'amora;67899;PPLN;PPT;;;not;;;;;VALIDATE
Johan;67941;PN;FT;;;;;;;;FOUND
Perez;67947;PN;FT;;;;;;;;FOUND
Cuenca;67956;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Alfonsso;68006;PN;FT; ; ;not; ; ; ; ;FOUND
Alfonsso;68090;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;68116;PN;FT;;;;;;;;FOUND
Castiella;68129;PLN;FT; ;Castilla;not;;; ;Medieval;FOUND
Toledo;68142;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Leon;68152;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;68160;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Seuilla;68172;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;68183;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Murcia;68194;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;68206;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Sancho;68234;PN;FT; ; ;yes;APLN;http://sws.geonames.org/9170929;null;Geonames;FOUND
Toledo;68263;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Dios;68403;PN;FT; ; ;not; ; ; ; ;FOUND
Gutier;68624;UN;UNI;;;not;;;;;UNIDENTIFIED
Gonzalez;68631;PLN;FT;http://sws.geonames.org/6478651; ;not;;;null;Geonames;FOUND
Alfonsso;68737;PN;FT;;;yes;APLN;;;;FOUND
Dios;68764;PN;FT;;;;;;;;FOUND
Castiella;68777;PLN;FT; ;Castilla;not;;; ;Medieval;FOUND
Toledo;68790;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Leon;68800;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;68808;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Seuilla;68820;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;68831;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Murçia;68842;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;68854;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Villa;69010;PLN;FT;http://sws.geonames.org/3105769; ;not;;;null;Geonames;FOUND
Pozuelo;69056;PLN;FT;http://sws.geonames.org/6355356; ;not;;;null;Geonames;FOUND
Toledo;69183;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Seuilla;69192;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Murçia;69202;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Mont Agudo;69761;PPLN;PPT;;;not;;;;;VALIDATE
Johan;69810;PN;FT;;;;;;;;FOUND
Mathe;69816;PLN;FT;http://pleiades.stoa.org/places/806354;null;not;;;An ancient place, cited: BAtlas 82 unlocated Mathe;Pleiades;FOUND
Alfonsso;69994;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;70020;PN;FT;;;;;;;;FOUND
Castiella;70033;PLN;FT; ;Castilla;not;;; ;Medieval;FOUND
Toledo;70046;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Leon;70056;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;70064;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Seuilla;70076;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;70087;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Murcia;70098;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;70110;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Cuenca;70162;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Cuenca;70237;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Paracuellos;70293;PLN;FT;http://sws.geonames.org/6357491; ;not;;;null;Geonames;FOUND
Matheo;70686;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;70710;PN;FT;;;;;;;;FOUND
Cuenca;70726;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Cuenca;70780;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Alfonsso;70884;PN;FT; ; ;not; ; ; ; ;FOUND
Ferrando;70925;PN;FT; ; ;not; ; ; ; ;FOUND
Paracuellos;70992;PLN;FT;http://sws.geonames.org/6357491; ;not;;;null;Geonames;FOUND
Cuenca;71075;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Cuenca;71138;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Alfonsso;71346;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Ferrando;71387;PN;FT; ; ;not; ; ; ; ;FOUND
Cuenca;71435;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Cuenca;71506;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Moya;71518;PLN;FT;http://sws.geonames.org/6360183;Moja,Mojja,mo ya,mwya,Мойя,Моя,مويا,莫亚;not;;;null;Geonames;FOUND
Alarcon;71528;PPLN;PPT;;;not;;;;;VALIDATE
Paracuellos;71677;PLN;FT;http://sws.geonames.org/6357491; ;not;;;null;Geonames;FOUND
Cuenca;71751;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Cuenca;72100;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Paracuellos;72223;PLN;FT;http://sws.geonames.org/6357491; ;not;;;null;Geonames;FOUND
Cuenca;72274;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Paracuellos;72377;PLN;FT;http://sws.geonames.org/6357491; ;not;;;null;Geonames;FOUND
Cuenca;72882;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Paracuellos;73014;PLN;FT;http://sws.geonames.org/6357491; ;not;;;null;Geonames;FOUND
Cuenca;73133;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Cuenca;73249;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Cuenca;73320;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Cuenca;73546;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Montagudo;73824;PPLN;PPT;;;not;;;;;VALIDATE
Paracuellos;73994;PLN;FT;http://sws.geonames.org/6357491; ;not;;;null;Geonames;FOUND
Cuenca;74112;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Matheo;74238;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;74262;PN;FT;;;;;;;;FOUND
Cuenca;74278;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Paracuellos;74581;PLN;FT;http://sws.geonames.org/6357491; ;not;;;null;Geonames;FOUND
Alfonsso;74793;PN;FT; ; ;not; ; ; ; ;FOUND
Ferrando;74829;PN;FT; ; ;not; ; ; ; ;FOUND
Alfonsso;75011;PN;FT; ; ;not; ; ; ; ;FOUND
Alfonsso;75164;PN;FT; ; ;not; ; ; ; ;FOUND
Matheo;75183;PN;FT; ; ;not; ; ; ; ;FOUND
Cuenca;75200;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Alfonsso;75372;PN;FT; ; ;not; ; ; ; ;FOUND
Matheo;75412;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Cuenca;75457;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Cuenca;75499;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Alfonsso;75523;PN;FT; ; ;not; ; ; ; ;FOUND
Matheo;75611;PN;FT; ; ;not; ; ; ; ;FOUND
Cuenca;75642;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Alfonso;76109;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Dios;76135;PN;FT;;;;;;;;FOUND
Castilla;76148;PLN;FT;http://sws.geonames.org/9404707; ;not;;;null;Geonames;FOUND
Toledo;76160;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Leon;76170;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;76178;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Seuilla;76190;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;76201;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Murçia;76212;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;76224;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Sancho;76249;PN;FT; ; ;yes;APLN;http://sws.geonames.org/9170929;null;Geonames;FOUND
Toledo;76278;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Sant;76338;PPLN;PPT;;;not;;;;;VALIDATE
Sant;76375;PPLN;PPT;;;not;;;;;VALIDATE
Ferrando;76501;PN;FT; ; ;not; ; ; ; ;FOUND
Sant;76539;PPLN;PPT;;;not;;;;;VALIDATE
Sancho;76703;PN;FT; ; ;yes;APLN;http://sws.geonames.org/9170929;null;Geonames;FOUND
Sancho;76750;PN;FT; ; ;yes;APLN;http://sws.geonames.org/9170929;null;Geonames;FOUND
Sant;76799;PPLN;PPT;;;not;;;;;VALIDATE
Sancho;76827;PN;FT; ; ;yes;APLN;http://sws.geonames.org/9170929;null;Geonames;FOUND
Alfonso;76965;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Ferrando;77001;PN;FT; ; ;not; ; ; ; ;FOUND
Sancho;77134;PN;FT; ; ;yes;APLN;http://sws.geonames.org/9170929;null;Geonames;FOUND
Gonçalo;77347;PN;FT;;;;;;;;FOUND
Perez;77355;PN;FT;;;;;;;;FOUND
Aguilar;77364;PLN;FT;http://sws.geonames.org/3130827;Aguilar;not;;;null;Geonames;FOUND
Alfonso;77492;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;77517;PN;FT;;;;;;;;FOUND
Castiella;77530;PLN;FT; ;Castilla;not;;; ;Medieval;FOUND
Toledo;77543;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Leon;77553;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;77561;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Seuilla;77573;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;77584;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Murcia;77595;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;77607;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Cuenca;77639;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Cuenca;77680;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
dias;77794;APLN;AT;http://pleiades.stoa.org/places/642516; ;yes;CN;;An ancient place, cited: BAtlas 65 unlocated Dias;Medieval;VALIDATE
dias;77915;APLN;AT;http://pleiades.stoa.org/places/642516; ;yes;CN;;An ancient place, cited: BAtlas 65 unlocated Dias;Medieval;VALIDATE
Rodrigo;77942;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Cuenca;77964;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Cuenca;78015;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Huerta;78044;PLN;FT;http://sws.geonames.org/6360406; ;not;;;null;Geonames;FOUND
Gonçaluo;78103;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Cuenca;78151;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
dias;78355;APLN;AT;http://pleiades.stoa.org/places/642516; ;yes;CN;;An ancient place, cited: BAtlas 65 unlocated Dias;Medieval;VALIDATE
Huerta;78564;PLN;FT;http://sws.geonames.org/6360406; ;not;;;null;Geonames;FOUND
Cuenca;78649;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Cuenca;78913;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Mayor;78998;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
cosa;79190;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Alfonso;79510;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Cuenca;79595;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Sancho;79910;APLN;AT;http://sws.geonames.org/9170929; ;yes;PN; ;null;Geonames;VALIDATE
Perez;79917;PN;FT;;;;;;;;FOUND
Pedryuannes;80065;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Calatrava;80088;PPLN;PPT;;;not;;;;;VALIDATE
Toledo;80186;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Dios;80268;PN;FT;;;;;;;;FOUND
Castiella;80281;PLN;FT; ;Castilla;not;;; ;Medieval;FOUND
